UPC,ASIN,Item Name,Cost,Manufacturer,Sales Rank,Listing Price,New Offer Count,FBA Fees,FBM Fees,Total Costs,Net Profit,ROI (%)
96316051430,B01M6Z5B97,Coralife Aquarium Fish Tank Marine Salt Water or Fresh Water Luft Air Pump,31.06,Central Garden & Pet,271091,24.58,7,9.21,3.69,40.27,-15.69,-50.52%
76440000115,B0002AQTVW,"Anchor Hocking 4263 Goldfish Bowl-Drum, 2 Gallon",22.2,Prime Pet Deals - Code 2,48250,34.16,10,21.19,5.12,43.39,-9.23,-41.58%
087535360656,B07N8CTRJG,Sun Salad For Rabbits,5.74,,12,32.72,4,13.51,4.91,19.25,13.47,234.67%
35368002212,B0002DHMC4,Cat Mate 4 Way Locking Large Cat / Small Dog Door,29.88,Ani Mate Inc,26541,29.99,11,10.27,4.5,40.15,-10.16,-34.00%
073101017055,B01LVTIUKK,"Stewart Freeze Dried Dog Treats, Chicken Breast, 3 oz, Grain Free & Gluten Free, Resealable Tub, Single Ingredient, Training Treat in Beef Liver, Salmon, Chicken Liver & Chicken Breast 4, 14, 21 oz",3,Gimborn Pet Specialties,79,12.99,6,6.5,1.95,9.5,3.49,116.33%
073101002174,B0762Q56P3,"Stewart Freeze Dried Dog Treats, Chicken Liver, 16.8 oz Grain Free & Gluten Free, Resealable Tub, Single Ingredient, Training Treat in Beef Liver, Salmon, Chicken Liver & Chicken Breast 4, 14, 21 oz",15.97,Gimborn Pet Specialties,79,29,5,11.35,4.35,27.32,1.68,10.52%
35368003486,B004E6DTRW,"Fish Mate P7000 Large, 6 lbs Capacity, Rain-Resistant Automatic Pond Fish Feeder",69.34,Ani Mate Inc,18551,84.34,7,23.6,12.65,92.94,-8.6,-12.40%
073101212429,B0002DGRQ6,"Stewart Freeze Dried Dog Treats, Beef Liver, 2 oz, Grain Free & Gluten Free, Resealable Tub, Single Ingredient, Training Treat in Beef Liver, Salmon, Chicken Liver & Chicken Breast 4, 14, 21 oz",0.05,Gimborn Products,79,5.99,10,4.28,0.9,4.33,1.66,3320.00%
35368092671,B0002AHY84,Fish Mate Pressurized Pond Filters (3000 PUV),170.04,Ani Mate Inc,174014,129.99,4,35.19,19.5,205.23,-75.24,-44.25%
35368093357,B001TY5D6C,"Cat Mate 3-Level, 70 fl. oz. Pet Fountain - BPA and BHT Free with 3-Stage Filter and Low Voltage Pump",30,Ani Mate Inc,19093,22.24,4,10.82,3.34,40.82,-18.58,-61.93%
073101017024,B005TRIV1Y,"Stewart Freeze Dried Dog Treats, Chicken Breast, 3 oz, Grain Free & Gluten Free, Resealable Tub, Single Ingredient, Training Treat in Beef Liver, Salmon, Chicken Liver & Chicken Breast 4, 14, 21oz",0.05,Gimborn Pet Specialties,79,5.49,11,4.2,0.82,4.25,1.24,2480.00%
17163125129,B004X27ZNQ,Liquid Super Ick Cure,0.5,API,155332,9.16,4,,,,,nan%
073091051640,B09W9CN2KN,"PetArmor 7 Way De-Wormer for Dogs, Oral Treatment for Tapeworm, Roundworm & Hookworm in Large Dogs & Puppies (Over 25 lbs), Worm Remover (Praziquantel & Pyrantel Pamoate), 6 Flavored Chewables",4,PetArmor,124,39.99,3,9.68,6,13.68,26.31,657.75%
17163020301,B0002ASGBS,"API Aquarium Pharmaceuticals 30B pH Down Aquarium pH Adjuster, 16 oz, Model Number: 17163020301, Hook",14.47,Mars Fishcare,7431,11.75,11,7.35,1.76,21.82,-10.07,-69.59%
073091051633,B0B5HS8M6B,"PetArmor 7 Way De-Wormer for Dogs, Oral Treatment for Tapeworm, Roundworm & Hookworm in Small Dogs & Puppies (6-25 lbs), Worm Remover (Praziquantel & Pyrantel Pamoate), 6 Flavored Chewables",9.19,PetArmor,124,24.99,2,7.43,3.75,16.62,8.37,91.08%
17163125310,B000N38KGA,"Ph Up Bottle, 1.25 oz",0.05,Mars Fishcare North America,325253,0,5,3.21,0.3,3.26,-3.26,-6520.00%
17163125310,B006OP4ZBA,Ph Up,0.05,Mars,399764,0,4,,,,,nan%
17163020318,B0002ASGC2,API pH UP Freshwater Aquarium Water pH Raising Solution 16-Ounce Bottle,16.65,Mars Fishcare,8286,16.99,11,8.52,2.55,25.17,-8.18,-49.13%
17163020318,B000N3BU6C,Mars Fishcare North America Ph Up Bottle Water Conditioner Size: 16 oz.,16.65,Mars Fishcare North America,48685,0,8,5.5,0.3,22.15,-22.15,-133.03%
